payment_id,ride_id,amount,payment_mode,payment_status,transaction_id,timestamp,wallet_used,cashback_applied
PAY0000144,RID0000161,254.94,Credit Card,Success,TXN677884851039,2024-08-31 14:37:35,0,9.99
PAY0000145,RID0000162,87.32,Cash,Refunded,,2025-11-07 18:10:17,0,
PAY0000146,RID0000163,78.72,Wallet,Success,TXN925843970210,2025-06-14 11:32:08,1,
PAY0000147,RID0000165,41.16,Credit Card,Success,TXN272851696542,2025-05-25 14:41:59,0,
PAY0000148,RID0000166,102.48,Cash,Success,,2026-01-22 06:54:16,0,
PAY0000149,RID0000168,9.46,Debit Card,Failed,TXN353218944179,2026-05-05 19:02:05,0,
PAY0000150,RID0000169,151.88,Cash,Failed,,2026-03-20 01:05:00,0,
PAY0000151,RID0000170,146.28,Wallet,Refunded,TXN690994455995,2024-02-02 09:07:15,1,
PAY0000152,RID0000171,73.15,Wallet,Success,TXN383619079876,2024-04-22 07:59:20,1,
PAY0000153,RID0000172,74.76,Cash,Refunded,,2025-09-09 08:43:06,0,
PAY0000154,RID0000173,231.12,Cash,Success,,2025-09-23 16:16:44,0,
PAY0000155,RID0000174,4.93,Debit Card,Failed,TXN611284663023,2024-01-04 02:50:47,0,
PAY0000156,RID0000175,196.42,UPI,Failed,TXN590032812267,2024-05-29 00:15:07,0,
PAY0000157,RID0000176,94.5,UPI,Failed,TXN802087101432,2026-05-18 08:42:36,0,
PAY0000158,RID0000177,59.96,Wallet,Success,TXN980180025827,2024-03-20 15:07:19,1,2.98
PAY0000159,RID0000178,101.7,UPI,Success,TXN416135841118,2026-04-12 13:40:06,0,
PAY0000160,RID0000179,146.04,UPI,Success,TXN268013656562,2025-04-29 11:57:39,0,
PAY0000161,RID0000180,42.77,Credit Card,Success,TXN339103148001,2024-08-25 09:56:08,0,2.73
PAY0000162,RID0000181,188.52,Credit Card,Success,TXN212757007826,2024-07-12 02:47:42,0,
PAY0000163,RID0000182,72.9,Cash,Success,,2024-07-20 02:03:42,0,
PAY0000164,RID0000183,55.5,Debit Card,Success,TXN134551914678,2025-11-24 18:38:12,0,
PAY0000165,RID0000184,60.96,UPI,Success,TXN590130510544,2024-05-04 12:47:53,0,1.53
PAY0000166,RID0000185,108.2,Wallet,Success,TXN513701619256,2024-12-24 00:30:45,1,
PAY0000167,RID0000186,61.22,Cash,Success,,2025-04-22 10:00:10,0,
PAY0000168,RID0000187,172.0,Wallet,Success,TXN284120254588,2025-03-05 19:36:38,1,
PAY0000169,RID0000188,19.96,Credit Card,Failed,TXN818222557134,2024-09-03 16:52:08,0,
PAY0000170,RID0000190,211.44,Debit Card,Refunded,TXN352925426689,2024-06-03 13:17:05,0,
PAY0000171,RID0000191,129.48,Cash,Failed,,2024-05-31 22:47:34,0,
PAY0000172,RID0000192,29.76,Debit Card,Success,TXN163632704036,2025-04-11 10:11:45,0,
PAY0000173,RID0000194,35.82,Debit Card,Failed,TXN372812515003,2025-12-28 13:45:38,0,
PAY0000174,RID0000195,150.72,Credit Card,Success,TXN160765796234,2025-01-18 16:03:38,0,
PAY0000175,RID0000196,51.98,Credit Card,Failed,TXN763862804702,2026-02-26 04:22:56,0,
PAY0000176,RID0000197,56.52,Credit Card,Refunded,TXN531811340768,2024-05-09 13:57:03,0,
PAY0000177,RID0000198,50.52,UPI,Failed,TXN191796343284,2026-07-06 17:41:12,0,
PAY0000178,RID0000199,111.46,UPI,Success,TXN681295944764,2025-08-19 04:40:03,0,
PAY0000179,RID0000200,50.98,Credit Card,Failed,TXN537736280741,2025-02-23 00:25:36,0,
PAY0000180,RID0000201,39.6,Debit Card,Success,TXN521323536031,2025-03-06 03:22:18,0,1.93
PAY0000181,RID0000202,66.6,UPI,Success,TXN928134699592,2025-10-05 08:33:33,0,2.04
PAY0000182,RID0000203,1.65,Wallet,Success,TXN493754711171,2024-02-24 17:34:00,1,
PAY0000183,RID0000204,88.08,Cash,Refunded,,2024-04-22 17:05:20,0,
PAY0000184,RID0000205,143.21,Credit Card,Success,TXN835554764690,2025-10-08 18:55:33,0,
PAY0000185,RID0000206,76.06,UPI,Success,TXN883924582129,2024-06-15 06:11:19,0,
PAY0000186,RID0000207,42.0,UPI,Success,TXN199629876817,2026-02-12 13:36:32,0,
PAY0000187,RID0000208,98.28,Cash,Failed,,2025-08-06 13:44:51,0,
PAY0000188,RID0000209,107.71,Credit Card,Refunded,TXN381932285234,2024-08-29 06:51:04,0,
PAY0000189,RID0000210,15.01,Wallet,Success,TXN975912806145,2024-08-22 07:54:50,1,
PAY0000190,RID0000211,144.84,Cash,Success,,2025-02-28 11:15:29,0,
PAY0000191,RID0000212,115.8,Wallet,Success,TXN171799871392,2026-03-20 20:40:28,1,
PAY0000192,RID0000213,111.2,Cash,Success,,2024-04-15 01:01:41,0,
PAY0000193,RID0000214,95.58,Cash,Success,,2026-05-19 17:29:44,0,
PAY0000194,RID0000215,70.06,Cash,Success,,2025-06-10 05:59:55,0,
PAY0000195,RID0000217,109.8,Cash,Success,,2025-09-20 14:01:51,0,
PAY0000196,RID0000218,297.72,Cash,Success,,2025-03-27 09:07:59,0,
PAY0000197,RID0000219,93.6,Wallet,Failed,TXN787230764077,2024-05-13 20:17:31,1,
PAY0000198,RID0000220,91.61,Wallet,Failed,TXN336087364564,2026-01-01 14:53:29,1,
PAY0000199,RID0000221,104.2,Wallet,Failed,TXN178671211535,2024-03-31 17:27:40,1,
PAY0000200,RID0000222,80.01,Credit Card,Refunded,TXN460435990256,2025-06-16 14:37:19,0,
PAY0000201,RID0000223,75.12,Debit Card,Success,TXN112674642306,2024-10-24 11:26:43,0,5.28
PAY0000202,RID0000224,46.55,Credit Card,Success,TXN742508332119,2024-04-27 16:57:48,0,
PAY0000203,RID0000225,87.68,Credit Card,Success,TXN578773731494,2025-03-18 17:10:25,0,
PAY0000204,RID0000226,49.26,Cash,Refunded,,2024-04-03 00:47:37,0,
PAY0000205,RID0000227,39.6,Wallet,Success,TXN919598536800,2024-04-24 17:38:52,1,
PAY0000206,RID0000228,107.01,Debit Card,Success,TXN314306090900,2025-08-28 19:41:38,0,7.02
PAY0000207,RID0000229,116.39,UPI,Refunded,TXN845116452888,2025-02-19 12:31:09,0,
PAY0000208,RID0000230,55.08,Cash,Failed,,2025-03-29 19:55:24,0,
PAY0000209,RID0000231,79.92,Debit Card,Refunded,TXN207257283245,2025-11-22 07:56:51,0,
PAY0000210,RID0000235,2.6,Debit Card,Success,TXN561102269511,2025-06-19 10:08:22,0,
PAY0000211,RID0000236,155.2,UPI,Success,TXN305483244124,2025-07-30 20:47:14,0,
PAY0000212,RID0000237,184.46,Wallet,Success,TXN901343486155,2025-06-16 22:16:36,1,
PAY0000213,RID0000238,59.62,Credit Card,Success,TXN660733773854,2024-02-02 12:28:54,0,
PAY0000214,RID0000239,107.4,Credit Card,Success,TXN317430165231,2024-10-07 00:06:55,0,
PAY0000215,RID0000240,79.68,Wallet,Refunded,TXN566585128828,2025-09-05 07:37:31,1,
PAY0000216,RID0000241,46.37,Cash,Success,,2025-07-04 18:11:58,0,
PAY0000217,RID0000242,134.06,Cash,Failed,,2025-12-02 07:22:38,0,
PAY0000218,RID0000243,69.03,Credit Card,Failed,TXN703499692504,2025-05-05 01:58:30,0,
PAY0000219,RID0000244,73.15,UPI,Success,TXN607678091744,2025-11-11 03:03:02,0,
PAY0000220,RID0000245,84.62,Wallet,Success,TXN609779546824,2025-11-30 01:01:43,1,
PAY0000221,RID0000246,82.37,UPI,Success,TXN382319719873,2025-09-08 01:30:47,0,
PAY0000222,RID0000247,133.92,Credit Card,Success,TXN127161564038,2025-02-14 00:22:21,0,
PAY0000223,RID0000249,253.2,Cash,Success,,2025-09-27 13:56:51,0,
PAY0000224,RID0000251,54.13,Cash,Success,,2026-03-28 19:04:02,0,
PAY0000225,RID0000252,228.1,Debit Card,Success,TXN967228112363,2025-01-05 14:10:34,0,
PAY0000226,RID0000253,564.84,UPI,Success,TXN208950460195,2026-01-05 23:57:57,0,
PAY0000227,RID0000254,85.62,UPI,Success,TXN516711321627,2026-04-21 23:57:44,0,
PAY0000228,RID0000255,50.52,Wallet,Success,TXN394876165312,2026-05-02 14:53:28,1,
PAY0000229,RID0000256,135.84,Credit Card,Success,TXN434550984780,2025-09-11 11:15:32,0,
PAY0000230,RID0000257,69.05,Debit Card,Success,TXN969872109748,2025-01-13 03:05:52,0,
PAY0000231,RID0000259,230.4,Debit Card,Success,TXN479012491571,2026-01-13 18:59:30,0,
PAY0000232,RID0000260,55.46,Debit Card,Failed,TXN411681574254,2025-04-29 08:28:00,0,
PAY0000233,RID0000261,81.84,Debit Card,Failed,TXN820945087256,2025-04-26 04:29:25,0,
PAY0000234,RID0000262,93.08,Credit Card,Failed,TXN160000135417,2026-01-12 12:48:16,0,
PAY0000235,RID0000263,187.98,Cash,Success,,2024-10-14 15:57:14,0,
PAY0000236,RID0000265,66.67,Wallet,Success,TXN304443341553,2024-06-02 10:00:44,1,
PAY0000237,RID0000266,31.68,Cash,Failed,,2025-01-16 15:54:43,0,
PAY0000238,RID0000267,74.28,UPI,Success,TXN917973271530,2026-06-09 10:13:44,0,5.72
PAY0000239,RID0000268,217.5,Wallet,Success,TXN495086310168,2026-02-22 02:54:34,1,
PAY0000240,RID0000269,121.16,UPI,Success,TXN528083818607,2025-03-23 18:18:11,0,
PAY0000241,RID0000270,40.09,Credit Card,Success,TXN386133885154,2024-08-07 02:29:10,0,
PAY0000242,RID0000271,80.0,Credit Card,Success,TXN950999968282,2025-12-01 13:54:17,0,
PAY0000243,RID0000273,129.46,UPI,Refunded,TXN425397116794,2024-06-04 22:18:39,0,
PAY0000244,RID0000274,49.68,UPI,Success,TXN245989956992,2025-07-29 21:41:59,0,
PAY0000245,RID0000275,85.8,Credit Card,Success,TXN525245743551,2025-02-27 15:15:19,0,
PAY0000246,RID0000277,53.64,Credit Card,Success,TXN798069982893,2025-02-27 07:50:35,0,
PAY0000247,RID0000279,71.4,UPI,Success,TXN661375060536,2024-06-13 17:26:41,0,
PAY0000248,RID0000280,87.84,Wallet,Refunded,TXN185458819665,2024-04-23 23:02:07,1,
PAY0000249,RID0000281,64.37,Wallet,Refunded,TXN787172787447,2025-08-24 07:05:35,1,
PAY0000250,RID0000282,93.84,Cash,Refunded,,2025-08-01 19:03:17,0,
PAY0000251,RID0000283,16.09,UPI,Failed,TXN548181845316,2024-12-05 06:52:56,0,
PAY0000252,RID0000284,33.3,Cash,Refunded,,2024-05-13 10:37:24,0,
PAY0000253,RID0000285,51.98,Wallet,Failed,TXN157054843397,2026-05-22 16:56:56,1,
PAY0000254,RID0000286,120.78,UPI,Success,TXN154298878590,2024-06-03 03:11:10,0,
PAY0000255,RID0000287,53.28,Cash,Refunded,,2024-03-06 19:46:34,0,
PAY0000256,RID0000288,423.36,UPI,Failed,TXN298427470433,2024-04-19 16:48:40,0,
PAY0000257,RID0000289,4.61,Cash,Failed,,2025-09-25 09:18:31,0,
PAY0000258,RID0000290,186.84,Credit Card,Success,TXN612149123910,2026-01-21 22:35:43,0,
PAY0000259,RID0000291,156.96,Cash,Success,,2024-12-18 19:48:46,0,
PAY0000260,RID0000292,233.28,Wallet,Success,TXN922623760054,2024-01-25 12:28:05,1,
PAY0000261,RID0000293,111.22,Debit Card,Success,TXN523568008651,2025-08-04 15:31:41,0,3.89
PAY0000262,RID0000294,39.6,UPI,Success,TXN669425497943,2024-08-27 07:06:57,0,1.66
PAY0000263,RID0000295,138.16,Credit Card,Success,TXN525468571164,2026-03-26 11:15:00,0,
PAY0000264,RID0000296,2.03,Credit Card,Success,TXN591859190287,2026-03-29 12:51:02,0,
PAY0000265,RID0000297,91.44,Cash,Success,,2024-07-12 20:55:47,0,
PAY0000266,RID0000298,461.38,UPI,Success,TXN791392118514,2026-01-25 23:07:17,0,
PAY0000267,RID0000299,60.62,Credit Card,Success,TXN244051021240,2026-03-06 21:44:42,0,
PAY0000268,RID0000300,265.2,UPI,Failed,TXN292890856097,2024-06-06 21:53:31,0,
PAY0000269,RID0000301,58.44,Wallet,Success,TXN179204145173,2025-08-29 06:32:44,1,
PAY0000270,RID0000302,21.18,Debit Card,Success,TXN188442946663,2024-06-26 08:42:10,0,
PAY0000271,RID0000303,58.97,UPI,Success,TXN521341318451,2025-10-05 12:18:52,0,
PAY0000272,RID0000304,41.76,Debit Card,Refunded,TXN688715631796,2025-04-22 12:41:39,0,
PAY0000273,RID0000305,53.75,Wallet,Success,TXN231083898667,2024-05-21 20:31:30,1,
PAY0000274,RID0000306,55.56,Credit Card,Success,TXN662760971633,2026-05-11 06:14:02,0,
PAY0000275,RID0000307,105.26,UPI,Success,TXN739028103923,2025-05-11 03:44:21,0,
PAY0000276,RID0000308,56.28,Cash,Failed,,2025-01-02 03:34:17,0,
PAY0000277,RID0000310,67.62,Wallet,Failed,TXN855273842861,2026-04-26 14:20:51,1,
PAY0000278,RID0000311,150.77,Wallet,Success,TXN768803594466,2024-05-21 18:32:09,1,
PAY0000279,RID0000312,19.28,Credit Card,Success,TXN707565850966,2025-05-22 05:43:28,0,
PAY0000280,RID0000313,5.49,Wallet,Failed,TXN962620520371,2026-01-22 09:45:46,1,
PAY0000281,RID0000314,72.79,Cash,Success,,2024-12-22 15:28:19,0,
PAY0000282,RID0000315,77.48,Cash,Failed,,2026-02-20 22:37:56,0,
PAY0000283,RID0000317,150.96,Cash,Success,,2025-06-09 15:57:08,0,
PAY0000284,RID0000318,121.68,Debit Card,Refunded,TXN579098072565,2026-06-05 03:46:52,0,
PAY0000285,RID0000319,42.18,UPI,Success,TXN477345287576,2024-02-28 12:17:15,0,
PAY0000286,RID0000320,19.8,Wallet,Success,TXN397745345701,2024-10-22 23:34:04,1,1.39
PAY0000287,RID0000321,21.9,UPI,Refunded,TXN429013390329,2025-03-10 17:51:43,0,
PAY0000288,RID0000323,331.5,Cash,Success,,2024-08-16 22:10:52,0,
