feedback_id,ride_id,user_rating,driver_rating,user_comment,driver_comment,feedback_tags
FB0000044,RID0000061,4.4,5.0,Vehicle was clean,,
FB0000045,RID0000065,5.0,4.4,Excellent service,,rude behavior
FB0000046,RID0000066,4.1,,,,
FB0000047,RID0000067,3.6,5.0,Music was too loud,No issues,
FB0000048,RID0000071,3.6,4.0,Excellent service,,
FB0000049,RID0000072,4.1,4.0,,,
FB0000050,RID0000073,5.0,4.8,Driver took a longer route,,professional
FB0000051,RID0000075,4.1,5.0,,Asked to change route,
FB0000052,RID0000077,3.9,,Driver was polite,,
FB0000053,RID0000078,5.0,4.9,,Good communication,safe driving
FB0000054,RID0000079,3.6,4.1,Driver was polite,,
FB0000055,RID0000082,4.3,,,,
FB0000056,RID0000083,3.4,4.8,"Great ride, very smooth",Asked to change route,
FB0000057,RID0000085,4.0,4.2,,,
FB0000058,RID0000087,3.8,4.4,Driver was polite,,
FB0000059,RID0000088,4.6,4.8,,On time at pickup,
FB0000060,RID0000090,4.9,5.0,,,late pickup
FB0000061,RID0000091,4.5,,,No issues,
FB0000062,RID0000093,3.9,4.7,,No issues,
FB0000063,RID0000094,3.8,4.5,Very safe driving,Cooperative rider,
FB0000064,RID0000095,4.2,4.4,,,
FB0000065,RID0000096,4.3,4.0,Driver was polite,No issues,
FB0000066,RID0000098,3.2,,Very safe driving,On time at pickup,
FB0000067,RID0000099,4.2,5.0,Good experience overall,,
FB0000068,RID0000100,3.5,4.5,,,
FB0000069,RID0000102,4.9,4.7,,On time at pickup,rude behavior
FB0000070,RID0000103,4.5,4.3,Very safe driving,,
FB0000071,RID0000105,5.0,4.8,Excellent service,On time at pickup,good music
FB0000072,RID0000106,5.0,,,,professional
FB0000073,RID0000107,5.0,4.1,,,professional
FB0000074,RID0000108,4.6,,Driver took a longer route,,
FB0000075,RID0000109,5.0,,,,late pickup
FB0000076,RID0000111,4.6,4.4,,,
FB0000077,RID0000113,3.9,4.7,Driver took a longer route,Good communication,
FB0000078,RID0000114,4.4,5.0,Vehicle was clean,No issues,
FB0000079,RID0000115,3.5,4.6,,,
FB0000080,RID0000116,4.1,4.9,,On time at pickup,
FB0000081,RID0000117,4.7,4.9,Driver was polite,Polite passenger,
FB0000082,RID0000118,5.0,,Excellent service,Good communication,good music
FB0000083,RID0000120,4.4,3.9,Music was too loud,,
FB0000084,RID0000123,4.6,4.4,,,
FB0000085,RID0000125,4.8,,,Cooperative rider,professional
FB0000086,RID0000127,4.0,4.8,,,
FB0000087,RID0000128,4.1,,,Good communication,
FB0000088,RID0000129,4.8,4.5,A bit late but fine,,polite behavior
FB0000089,RID0000130,4.4,4.5,,,
FB0000090,RID0000131,3.8,,"Great ride, very smooth",,
FB0000091,RID0000132,4.0,4.8,,No issues,
FB0000092,RID0000133,4.6,,Very safe driving,Polite passenger,
FB0000093,RID0000134,4.3,4.3,,Polite passenger,
FB0000094,RID0000135,4.6,3.8,,,
FB0000095,RID0000136,3.7,5.0,Good experience overall,Good communication,
FB0000096,RID0000137,5.0,4.9,,,rude behavior
FB0000097,RID0000138,4.3,,Vehicle was clean,,
FB0000098,RID0000140,5.0,,Excellent service,Good communication,late pickup
FB0000099,RID0000141,3.9,,Good experience overall,Cooperative rider,
FB0000100,RID0000143,4.6,,,,
FB0000101,RID0000144,5.0,4.6,,,long route taken
FB0000102,RID0000145,4.8,4.7,Good experience overall,,rude behavior
FB0000103,RID0000146,3.7,5.0,,,
FB0000104,RID0000147,4.2,4.7,,,
FB0000105,RID0000149,4.8,,,No issues,safe driving
FB0000106,RID0000151,3.8,4.8,,,
FB0000107,RID0000156,4.4,4.1,,,
FB0000108,RID0000157,4.6,3.9,,,
FB0000109,RID0000159,3.7,4.4,,Polite passenger,
FB0000110,RID0000160,3.2,5.0,Driver took a longer route,,
FB0000111,RID0000162,5.0,5.0,,,clean vehicle
FB0000112,RID0000163,4.0,4.6,Driver took a longer route,,
FB0000113,RID0000165,4.7,3.8,Vehicle was clean,,
FB0000114,RID0000166,4.8,,,On time at pickup,long route taken
FB0000115,RID0000169,4.3,4.5,Driver was polite,,
FB0000116,RID0000170,4.2,4.6,Music was too loud,,
FB0000117,RID0000171,5.0,,Driver was polite,,late pickup
FB0000118,RID0000172,4.9,4.9,Music was too loud,,clean vehicle
FB0000119,RID0000173,4.0,4.5,,,
FB0000120,RID0000175,3.9,,"Great ride, very smooth",,
FB0000121,RID0000176,4.6,4.4,A bit late but fine,,
FB0000122,RID0000177,4.3,3.9,,,
FB0000123,RID0000179,3.0,4.8,A bit late but fine,,rude behavior
FB0000124,RID0000180,4.1,4.4,,Polite passenger,
FB0000125,RID0000181,4.4,3.8,,On time at pickup,
FB0000126,RID0000182,4.9,5.0,Good experience overall,,good music
FB0000127,RID0000183,3.7,4.9,,,
FB0000128,RID0000184,4.0,5.0,,,
FB0000129,RID0000186,4.7,4.4,Very safe driving,,
FB0000130,RID0000187,3.4,3.7,Vehicle was clean,,
FB0000131,RID0000190,5.0,4.3,Excellent service,,rude behavior
FB0000132,RID0000192,4.1,4.8,,,
FB0000133,RID0000194,5.0,4.8,A bit late but fine,Polite passenger,long route taken
FB0000134,RID0000195,4.1,4.6,Vehicle was clean,Polite passenger,
FB0000135,RID0000196,4.5,4.6,,Asked to change route,
FB0000136,RID0000197,3.6,,Music was too loud,,
FB0000137,RID0000198,5.0,,,,safe driving
FB0000138,RID0000199,4.3,4.8,Very safe driving,,
FB0000139,RID0000200,5.0,5.0,,,polite behavior
FB0000140,RID0000202,3.5,5.0,,Polite passenger,
FB0000141,RID0000204,3.7,5.0,Driver took a longer route,,
FB0000142,RID0000205,4.0,5.0,Driver took a longer route,,
FB0000143,RID0000206,3.6,4.5,Good experience overall,,
FB0000144,RID0000207,4.4,,,On time at pickup,
FB0000145,RID0000208,3.1,4.0,,,
FB0000146,RID0000209,4.2,4.3,,,
FB0000147,RID0000211,4.5,5.0,,Polite passenger,
FB0000148,RID0000212,4.7,4.9,,,
FB0000149,RID0000213,3.7,,Very safe driving,,
FB0000150,RID0000214,4.3,4.0,"Great ride, very smooth",Asked to change route,
FB0000151,RID0000215,3.7,,,Cooperative rider,
FB0000152,RID0000218,4.2,4.2,,,
FB0000153,RID0000219,4.5,4.1,Good experience overall,On time at pickup,
FB0000154,RID0000220,4.1,3.8,,,
FB0000155,RID0000221,4.5,3.8,,,
FB0000156,RID0000222,5.0,4.6,,,good music
FB0000157,RID0000223,4.3,,A bit late but fine,Good communication,
FB0000158,RID0000225,3.9,,,,
FB0000159,RID0000226,4.2,,"Great ride, very smooth",,
FB0000160,RID0000227,4.9,3.5,Driver was polite,No issues,good music
FB0000161,RID0000228,4.3,3.9,"Great ride, very smooth",,
FB0000162,RID0000230,5.0,4.1,,,good music
FB0000163,RID0000231,4.0,4.4,Driver was polite,,
FB0000164,RID0000236,4.6,3.5,,,
FB0000165,RID0000237,4.4,3.9,Vehicle was clean,,
FB0000166,RID0000238,3.8,5.0,,,
FB0000167,RID0000239,4.5,4.5,Very safe driving,,
FB0000168,RID0000240,4.5,,,,
FB0000169,RID0000241,4.7,,Very safe driving,,
FB0000170,RID0000242,3.7,5.0,,On time at pickup,
FB0000171,RID0000243,5.0,4.4,A bit late but fine,,long route taken
FB0000172,RID0000244,4.7,4.1,,,
FB0000173,RID0000245,5.0,4.2,,Asked to change route,rude behavior
FB0000174,RID0000247,5.0,4.3,Very safe driving,,clean vehicle
FB0000175,RID0000249,5.0,,Driver took a longer route,Good communication,late pickup
FB0000176,RID0000251,4.7,4.5,,,
FB0000177,RID0000252,4.4,4.0,Excellent service,No issues,
FB0000178,RID0000253,4.1,5.0,,,
FB0000179,RID0000255,4.6,3.8,,No issues,
FB0000180,RID0000256,5.0,4.3,"Great ride, very smooth",Polite passenger,polite behavior
FB0000181,RID0000259,4.3,5.0,Driver took a longer route,On time at pickup,
FB0000182,RID0000262,3.7,4.5,Music was too loud,Good communication,
FB0000183,RID0000263,4.9,4.1,Driver took a longer route,No issues,rude behavior
FB0000184,RID0000265,4.6,3.8,Driver was polite,On time at pickup,
FB0000185,RID0000266,4.3,4.4,Driver was polite,Asked to change route,
FB0000186,RID0000267,4.6,4.5,,Cooperative rider,
FB0000187,RID0000268,3.8,,,,
FB0000188,RID0000269,4.5,4.1,Driver was polite,On time at pickup,
FB0000189,RID0000270,4.4,,,,
FB0000190,RID0000271,4.9,4.8,Excellent service,Polite passenger,professional
FB0000191,RID0000273,4.1,4.5,,,
FB0000192,RID0000275,4.8,5.0,,,long route taken
FB0000193,RID0000277,4.7,3.9,Very safe driving,,
FB0000194,RID0000279,3.2,5.0,Vehicle was clean,Good communication,
FB0000195,RID0000280,5.0,4.6,,Cooperative rider,clean vehicle
FB0000196,RID0000281,4.8,5.0,Very safe driving,,clean vehicle
FB0000197,RID0000282,4.7,5.0,,Cooperative rider,
FB0000198,RID0000286,4.2,5.0,,,
FB0000199,RID0000287,4.4,4.8,Good experience overall,,
FB0000200,RID0000290,4.1,4.2,Excellent service,,
FB0000201,RID0000291,4.7,5.0,Good experience overall,Polite passenger,
FB0000202,RID0000293,5.0,3.6,,Asked to change route,professional
FB0000203,RID0000294,5.0,3.9,,Cooperative rider,rude behavior
FB0000204,RID0000295,4.7,5.0,,,
FB0000205,RID0000299,4.5,3.5,,,
FB0000206,RID0000300,3.9,4.3,Driver took a longer route,,
FB0000207,RID0000302,4.0,4.5,Excellent service,Asked to change route,
FB0000208,RID0000303,4.4,,,,
FB0000209,RID0000305,3.7,4.0,Vehicle was clean,,
FB0000210,RID0000306,5.0,5.0,,Good communication,professional
FB0000211,RID0000307,3.2,4.6,,,
FB0000212,RID0000308,5.0,,,,clean vehicle
FB0000213,RID0000310,4.3,4.2,Very safe driving,,
FB0000214,RID0000311,5.0,4.1,,,good music
FB0000215,RID0000314,4.9,4.6,,,good music
FB0000216,RID0000315,5.0,4.9,,,clean vehicle
FB0000217,RID0000317,4.3,4.9,Good experience overall,,
FB0000218,RID0000318,5.0,,,,clean vehicle
FB0000219,RID0000319,5.0,4.7,,,late pickup
FB0000220,RID0000320,3.3,4.2,"Great ride, very smooth",Polite passenger,
FB0000221,RID0000321,5.0,4.9,Vehicle was clean,,good music
FB0000222,RID0000324,4.1,4.2,,,
FB0000223,RID0000326,4.1,4.6,,Good communication,
FB0000224,RID0000328,3.5,3.8,Music was too loud,,
FB0000225,RID0000330,4.6,4.1,,,
FB0000226,RID0000331,4.6,5.0,,,
FB0000227,RID0000333,4.5,4.2,"Great ride, very smooth",,
FB0000228,RID0000334,4.3,4.4,"Great ride, very smooth",,
FB0000229,RID0000335,4.9,4.4,Driver was polite,On time at pickup,safe driving
FB0000230,RID0000336,3.2,4.2,Vehicle was clean,,
FB0000231,RID0000337,4.6,4.8,,,
FB0000232,RID0000338,4.9,,,,clean vehicle
FB0000233,RID0000339,4.9,3.7,Very safe driving,,late pickup
FB0000234,RID0000340,4.8,3.5,,,long route taken
FB0000235,RID0000341,4.5,4.0,Music was too loud,Asked to change route,
FB0000236,RID0000343,4.8,4.6,,,long route taken
FB0000237,RID0000344,4.1,4.3,"Great ride, very smooth",,
FB0000238,RID0000345,4.2,5.0,Driver took a longer route,,
FB0000239,RID0000347,4.1,,Good experience overall,,
FB0000240,RID0000348,3.8,3.8,Music was too loud,On time at pickup,
FB0000241,RID0000349,4.7,3.9,Excellent service,Good communication,
FB0000242,RID0000352,3.3,,A bit late but fine,,
FB0000243,RID0000353,4.6,,Music was too loud,No issues,
FB0000244,RID0000354,4.8,4.9,Good experience overall,Good communication,safe driving
FB0000245,RID0000355,3.2,5.0,Good experience overall,,
FB0000246,RID0000356,4.6,4.4,Music was too loud,,
FB0000247,RID0000358,3.8,4.4,Good experience overall,Asked to change route,
FB0000248,RID0000359,5.0,4.2,,Polite passenger,safe driving
FB0000249,RID0000360,3.9,,A bit late but fine,,
FB0000250,RID0000361,4.5,,,On time at pickup,
FB0000251,RID0000362,5.0,4.5,,,polite behavior
FB0000252,RID0000364,3.6,5.0,Very safe driving,,
FB0000253,RID0000365,4.2,4.2,Good experience overall,,
FB0000254,RID0000366,4.5,4.5,,,
FB0000255,RID0000367,3.7,3.6,,,
FB0000256,RID0000370,3.6,5.0,,,
FB0000257,RID0000371,4.2,4.5,,,
FB0000258,RID0000372,4.7,4.1,,Polite passenger,
FB0000259,RID0000373,4.4,4.8,,,
FB0000260,RID0000374,4.1,,,,
FB0000261,RID0000375,3.4,4.0,,,
FB0000262,RID0000377,5.0,4.3,,,clean vehicle
FB0000263,RID0000378,4.1,,,,
FB0000264,RID0000379,4.8,4.9,,,safe driving
FB0000265,RID0000380,3.8,,,,
FB0000266,RID0000381,4.0,3.8,,,
FB0000267,RID0000382,5.0,4.0,,Good communication,late pickup
FB0000268,RID0000384,5.0,4.9,,,polite behavior
FB0000269,RID0000386,3.8,4.3,Music was too loud,,
FB0000270,RID0000387,4.5,4.8,Driver was polite,,
FB0000271,RID0000388,4.7,4.3,,,
FB0000272,RID0000389,4.5,4.3,Excellent service,Asked to change route,
FB0000273,RID0000390,5.0,4.6,Good experience overall,,good music
FB0000274,RID0000391,3.9,4.3,Music was too loud,,
FB0000275,RID0000395,4.4,3.8,,,
FB0000276,RID0000396,5.0,4.7,"Great ride, very smooth",,professional
FB0000277,RID0000397,4.2,,"Great ride, very smooth",,
FB0000278,RID0000400,4.4,3.6,,,
FB0000279,RID0000401,3.4,4.5,,,
FB0000280,RID0000402,4.1,,Very safe driving,,
FB0000281,RID0000405,3.7,,,,
FB0000282,RID0000406,4.2,,"Great ride, very smooth",,
FB0000283,RID0000409,3.6,,Good experience overall,Cooperative rider,
FB0000284,RID0000410,4.9,,Good experience overall,,late pickup
FB0000285,RID0000412,3.5,,Music was too loud,,
FB0000286,RID0000414,3.0,3.9,,,rude behavior
FB0000287,RID0000415,4.4,4.4,Music was too loud,,
FB0000288,RID0000416,2.4,,,,polite behavior
FB0000289,RID0000417,4.8,5.0,,,polite behavior
FB0000290,RID0000419,5.0,,Good experience overall,,rude behavior
FB0000291,RID0000420,4.2,4.7,Driver took a longer route,Polite passenger,
FB0000292,RID0000421,5.0,4.6,,,polite behavior
FB0000293,RID0000422,5.0,,,,late pickup
FB0000294,RID0000423,4.3,,,On time at pickup,
FB0000295,RID0000424,4.6,3.8,,,
FB0000296,RID0000425,4.2,4.4,,,
FB0000297,RID0000426,2.8,4.0,Excellent service,,safe driving
FB0000298,RID0000427,4.9,4.5,,,long route taken
FB0000299,RID0000428,4.8,4.1,Vehicle was clean,,late pickup
FB0000300,RID0000429,5.0,5.0,,,late pickup
FB0000301,RID0000431,4.6,4.3,,,
FB0000302,RID0000432,3.9,4.7,A bit late but fine,No issues,
FB0000303,RID0000433,4.8,4.1,,Asked to change route,professional
FB0000304,RID0000435,4.6,4.1,Excellent service,,
FB0000305,RID0000436,4.6,4.0,,,
FB0000306,RID0000437,4.6,4.4,,,
FB0000307,RID0000438,4.4,5.0,,,
FB0000308,RID0000440,2.9,4.6,A bit late but fine,,long route taken
FB0000309,RID0000442,4.1,,Vehicle was clean,,
FB0000310,RID0000443,3.6,4.9,,,
FB0000311,RID0000444,4.2,4.6,,,
FB0000312,RID0000446,4.6,4.0,,On time at pickup,
FB0000313,RID0000447,5.0,5.0,A bit late but fine,,late pickup
FB0000314,RID0000448,5.0,4.9,A bit late but fine,,late pickup
FB0000315,RID0000449,4.6,4.5,Vehicle was clean,Good communication,
FB0000316,RID0000450,3.7,5.0,,,
FB0000317,RID0000452,4.7,4.6,,,
FB0000318,RID0000453,4.7,4.0,,Asked to change route,
FB0000319,RID0000459,4.6,5.0,,,
FB0000320,RID0000460,5.0,4.7,Driver took a longer route,Cooperative rider,rude behavior
FB0000321,RID0000461,4.6,4.2,,,
FB0000322,RID0000462,4.7,4.8,,,
FB0000323,RID0000463,4.3,3.9,,Cooperative rider,
FB0000324,RID0000465,4.2,4.8,,,
FB0000325,RID0000467,5.0,,Driver took a longer route,,rude behavior
FB0000326,RID0000468,4.7,4.0,,,
FB0000327,RID0000469,5.0,5.0,,,good music
FB0000328,RID0000471,3.3,,Driver was polite,Good communication,
FB0000329,RID0000473,4.3,,,,
FB0000330,RID0000474,5.0,3.9,Vehicle was clean,,professional
FB0000331,RID0000475,5.0,,,,clean vehicle
FB0000332,RID0000476,3.7,4.6,"Great ride, very smooth",,
FB0000333,RID0000478,4.3,,"Great ride, very smooth",,
FB0000334,RID0000479,3.5,4.8,Excellent service,Asked to change route,
FB0000335,RID0000480,4.9,,,Good communication,safe driving
FB0000336,RID0000485,4.4,3.4,"Great ride, very smooth",,
FB0000337,RID0000487,4.8,4.5,Good experience overall,,polite behavior
FB0000338,RID0000489,3.6,4.5,Driver took a longer route,,
FB0000339,RID0000490,4.1,,,,
FB0000340,RID0000492,3.8,4.1,,Asked to change route,
FB0000341,RID0000493,4.3,5.0,,,
FB0000342,RID0000494,4.9,5.0,,,professional
FB0000343,RID0000496,4.0,3.8,Good experience overall,,
FB0000344,RID0000497,4.3,,,,
FB0000345,RID0000498,4.8,,,Polite passenger,safe driving
FB0000346,RID0000502,5.0,4.4,,,safe driving
FB0000347,RID0000503,4.4,,,Good communication,
FB0000348,RID0000504,4.4,3.6,,,
FB0000349,RID0000506,4.1,4.9,,,
FB0000350,RID0000507,4.8,5.0,,Cooperative rider,late pickup
FB0000351,RID0000509,4.2,,,,
FB0000352,RID0000510,5.0,4.2,"Great ride, very smooth",,polite behavior
FB0000353,RID0000511,4.4,5.0,,,
FB0000354,RID0000512,5.0,4.2,,,late pickup
FB0000355,RID0000513,4.3,4.1,,,
FB0000356,RID0000514,5.0,4.3,Music was too loud,,safe driving
FB0000357,RID0000517,4.8,5.0,Excellent service,,clean vehicle
FB0000358,RID0000518,5.0,5.0,Excellent service,,rude behavior
FB0000359,RID0000520,4.5,4.5,,,
FB0000360,RID0000521,4.5,4.2,,Good communication,
FB0000361,RID0000522,5.0,4.1,,,good music
FB0000362,RID0000523,3.3,4.6,,,
FB0000363,RID0000524,4.6,,,,
FB0000364,RID0000525,5.0,4.3,,,late pickup
FB0000365,RID0000527,5.0,5.0,"Great ride, very smooth",Cooperative rider,clean vehicle
FB0000366,RID0000528,4.0,3.6,,,
FB0000367,RID0000529,4.9,4.6,Driver took a longer route,,long route taken
FB0000368,RID0000530,3.7,4.4,,On time at pickup,
FB0000369,RID0000531,4.7,4.3,A bit late but fine,,
FB0000370,RID0000532,3.7,4.5,Very safe driving,Cooperative rider,
FB0000371,RID0000533,4.6,4.7,"Great ride, very smooth",No issues,
FB0000372,RID0000534,4.6,4.0,,,
FB0000373,RID0000536,4.2,4.4,Very safe driving,,
FB0000374,RID0000537,4.7,3.6,,,
FB0000375,RID0000540,3.7,5.0,,Asked to change route,
FB0000376,RID0000541,4.2,5.0,,Cooperative rider,
FB0000377,RID0000542,4.4,3.9,,,
FB0000378,RID0000544,4.5,3.8,,,
FB0000379,RID0000545,4.8,4.9,Very safe driving,No issues,safe driving
FB0000380,RID0000546,4.4,4.2,,Cooperative rider,
FB0000381,RID0000548,3.2,4.4,,,
FB0000382,RID0000551,4.8,5.0,,,professional
FB0000383,RID0000552,4.7,3.7,Good experience overall,,
FB0000384,RID0000556,3.7,4.9,Excellent service,,
FB0000385,RID0000558,4.1,5.0,Music was too loud,,
FB0000386,RID0000559,5.0,5.0,,On time at pickup,professional
FB0000387,RID0000560,4.5,5.0,,,
FB0000388,RID0000561,3.5,3.7,,,
FB0000389,RID0000562,3.9,4.7,Excellent service,Asked to change route,
FB0000390,RID0000564,4.3,,Very safe driving,,
FB0000391,RID0000565,4.5,4.4,,Asked to change route,
FB0000392,RID0000567,4.0,4.1,,,
FB0000393,RID0000568,5.0,3.8,,Asked to change route,clean vehicle
FB0000394,RID0000569,4.9,3.2,"Great ride, very smooth",,rude behavior
FB0000395,RID0000571,4.9,,Excellent service,,late pickup
FB0000396,RID0000572,4.1,4.3,Driver was polite,On time at pickup,
FB0000397,RID0000573,4.8,4.8,,Polite passenger,polite behavior
FB0000398,RID0000574,3.6,4.6,,On time at pickup,
FB0000399,RID0000575,4.5,5.0,,,
FB0000400,RID0000576,3.8,4.9,Music was too loud,On time at pickup,
FB0000401,RID0000577,4.2,,Music was too loud,,
FB0000402,RID0000578,4.0,,Good experience overall,Asked to change route,
FB0000403,RID0000579,3.8,4.7,,,
FB0000404,RID0000580,4.8,,,On time at pickup,good music
FB0000405,RID0000582,4.1,4.5,,,
FB0000406,RID0000583,4.6,4.8,,No issues,
FB0000407,RID0000584,4.4,3.6,,On time at pickup,
FB0000408,RID0000585,4.4,4.3,,Good communication,
FB0000409,RID0000586,3.8,,,Good communication,
FB0000410,RID0000587,4.1,4.5,Vehicle was clean,,
FB0000411,RID0000588,3.7,3.8,,,
FB0000412,RID0000589,4.7,5.0,,,
FB0000413,RID0000590,4.4,,,,
FB0000414,RID0000591,5.0,4.7,Good experience overall,,polite behavior
FB0000415,RID0000594,4.8,,Vehicle was clean,Polite passenger,polite behavior
FB0000416,RID0000595,4.1,4.6,Driver took a longer route,,
FB0000417,RID0000597,3.7,,Very safe driving,,
FB0000418,RID0000598,4.5,,Vehicle was clean,On time at pickup,
FB0000419,RID0000601,4.5,4.2,,,
FB0000420,RID0000602,3.9,5.0,,,
FB0000421,RID0000604,4.6,4.2,Very safe driving,,
FB0000422,RID0000606,4.5,4.4,,Cooperative rider,
FB0000423,RID0000607,4.6,4.6,,,
FB0000424,RID0000609,4.5,4.8,,,
FB0000425,RID0000611,4.1,4.5,Excellent service,,
FB0000426,RID0000612,4.4,,Excellent service,,
FB0000427,RID0000613,5.0,4.2,Driver was polite,,rude behavior
FB0000428,RID0000616,4.3,4.6,,,
FB0000429,RID0000617,4.4,4.4,A bit late but fine,,
FB0000430,RID0000619,4.6,4.6,Very safe driving,Asked to change route,
FB0000431,RID0000621,5.0,,"Great ride, very smooth",,good music
FB0000432,RID0000622,4.1,,,On time at pickup,
FB0000433,RID0000623,4.0,4.7,,,
FB0000434,RID0000625,5.0,3.9,Driver was polite,,rude behavior
FB0000435,RID0000627,4.7,,,No issues,
FB0000436,RID0000628,4.2,3.7,Very safe driving,,
FB0000437,RID0000629,5.0,4.7,,,clean vehicle
FB0000438,RID0000630,4.3,,Driver was polite,,
FB0000439,RID0000631,3.8,4.3,"Great ride, very smooth",,
FB0000440,RID0000632,4.3,4.5,,,
FB0000441,RID0000633,5.0,4.0,Very safe driving,Good communication,polite behavior
FB0000442,RID0000634,3.9,4.2,"Great ride, very smooth",,
FB0000443,RID0000642,3.2,,A bit late but fine,No issues,
FB0000444,RID0000643,5.0,3.6,Good experience overall,,late pickup
FB0000445,RID0000644,4.0,4.7,Driver was polite,,
FB0000446,RID0000645,5.0,,Very safe driving,,long route taken
FB0000447,RID0000646,4.7,,Driver took a longer route,Asked to change route,
FB0000448,RID0000647,5.0,5.0,Excellent service,,professional
FB0000449,RID0000651,3.5,5.0,Driver took a longer route,,
FB0000450,RID0000652,4.9,3.9,,,safe driving
FB0000451,RID0000655,4.1,4.8,"Great ride, very smooth",,
FB0000452,RID0000656,5.0,4.3,,,safe driving
FB0000453,RID0000657,4.5,5.0,,Cooperative rider,
FB0000454,RID0000659,4.2,,,,
FB0000455,RID0000660,4.2,3.8,,,
FB0000456,RID0000661,4.5,3.9,Vehicle was clean,,
FB0000457,RID0000662,4.1,,,,
FB0000458,RID0000665,4.2,4.5,,,
FB0000459,RID0000666,3.8,4.6,,Good communication,
FB0000460,RID0000667,4.3,3.9,,,
FB0000461,RID0000673,4.6,4.3,Very safe driving,,
FB0000462,RID0000674,4.6,,,,
FB0000463,RID0000675,5.0,3.9,,,late pickup
FB0000464,RID0000676,4.8,4.1,Music was too loud,,long route taken
FB0000465,RID0000678,5.0,4.2,,Polite passenger,rude behavior
FB0000466,RID0000680,5.0,5.0,,Good communication,safe driving
FB0000467,RID0000681,3.9,,,,
FB0000468,RID0000682,4.1,4.6,,Good communication,
FB0000469,RID0000685,3.9,4.7,,No issues,
FB0000470,RID0000687,5.0,4.8,Driver took a longer route,,rude behavior
FB0000471,RID0000688,3.7,4.9,Driver was polite,No issues,
FB0000472,RID0000689,4.2,,,,
FB0000473,RID0000690,4.8,4.8,Driver took a longer route,,rude behavior
FB0000474,RID0000691,4.5,5.0,Good experience overall,,
FB0000475,RID0000693,3.9,4.3,Music was too loud,Polite passenger,
FB0000476,RID0000694,5.0,4.5,Excellent service,,polite behavior
FB0000477,RID0000695,4.6,3.5,,Good communication,
FB0000478,RID0000696,4.3,,,,
FB0000479,RID0000698,4.6,4.9,,No issues,
FB0000480,RID0000700,5.0,4.2,Driver was polite,,rude behavior
FB0000481,RID0000701,5.0,5.0,,,long route taken
FB0000482,RID0000704,5.0,4.6,Driver was polite,Asked to change route,good music
FB0000483,RID0000707,4.8,,Excellent service,,rude behavior
FB0000484,RID0000708,5.0,,,No issues,rude behavior
FB0000485,RID0000710,3.1,4.6,,On time at pickup,
FB0000486,RID0000711,3.1,,"Great ride, very smooth",,
FB0000487,RID0000713,3.4,5.0,,,
FB0000488,RID0000715,4.1,4.4,,,
FB0000489,RID0000718,4.3,4.4,Excellent service,Cooperative rider,
FB0000490,RID0000720,5.0,4.1,,,late pickup
