vehicle_id,driver_id,vehicle_type,make,model,year,registration_number,fuel_type,insurance_expiry_date,last_service_date
VEH00070,DRV00070,Bike,Hero,Splendor,2025,MH09TB4854,Diesel,2027-05-09,2026-05-15
VEH00071,DRV00071,Mini,Maruti Suzuki,Alto,2023,MH15CV5810,CNG,2026-11-02,2025-10-04
VEH00072,DRV00072,Mini,Maruti Suzuki,WagonR,2021,KA13BN8647,CNG,2023-08-06,2024-11-17
VEH00073,DRV00073,Mini,Maruti Suzuki,WagonR,2021,RJ10IV1602,CNG,2024-09-12,2023-09-12
VEH00074,DRV00074,Auto,Piaggio,Ape,2022,WB10UH2728,CNG,2025-11-22,2024-10-19
VEH00075,DRV00075,Bike,Hero,Splendor,2024,KA14WO7791,Petrol,2025-11-13,2025-12-30
VEH00076,DRV00076,Mini,Maruti Suzuki,WagonR,2024,GJ03UJ7884,Electric,2027-04-14,2025-11-14
VEH00077,DRV00077,Auto,Bajaj,RE Auto,2015,UP05QT2888,Diesel,2018-04-19,2016-11-01
VEH00078,DRV00078,Bike,Bajaj,Pulsar,2022,DL12JI6934,Petrol,2023-09-05,2024-12-17
VEH00079,DRV00079,Auto,Piaggio,Ape,2022,RJ12MA8497,CNG,2023-12-17,2024-10-31
VEH00080,DRV00080,Mini,Maruti Suzuki,WagonR,2022,TN17MY8180,Petrol,2024-10-27,2024-08-10
VEH00081,DRV00081,Auto,Bajaj,RE Auto,2025,TS07ZI0808,Petrol,2028-04-16,2025-10-24
VEH00082,DRV00082,Prime,Honda,City,2025,TN09SK9171,Petrol,2028-06-30,2025-10-18
VEH00083,DRV00083,Bike,TVS,Apache,2019,MH06ZZ1876,Petrol,2022-09-07,2024-02-12
VEH00084,DRV00084,Mini,Maruti Suzuki,Alto,2018,UP05IV4377,Petrol,2019-02-26,2023-06-02
VEH00085,DRV00085,Prime,Maruti Suzuki,Ciaz,2018,TN13GM6785,Petrol,2019-03-12,2025-10-08
VEH00086,DRV00086,Prime,Maruti Suzuki,Ciaz,2020,KA14IS6904,Petrol,2023-11-12,2021-08-27
VEH00087,DRV00087,Mini,Maruti Suzuki,Alto,2016,RJ19OA0032,Diesel,2019-10-16,2022-03-27
VEH00088,DRV00088,Auto,Bajaj,RE Auto,2016,MH10NF4553,Petrol,2019-08-24,2020-07-27
VEH00089,DRV00089,Auto,Bajaj,RE Auto,2018,GJ12GN1791,Petrol,2021-02-10,2023-04-22
VEH00090,DRV00090,Mini,Hyundai,Santro,2019,TN15BY4386,Petrol,2021-06-07,2025-06-20
VEH00091,DRV00091,Bike,Bajaj,Pulsar,2020,RJ19IN6892,Petrol,2021-07-26,2024-12-10
VEH00092,DRV00092,Prime,Maruti Suzuki,Ciaz,2017,KA06IN8383,CNG,2019-02-25,2020-07-21
VEH00093,DRV00093,Prime,Honda,City,2023,KA19LU9235,Petrol,2026-04-30,2025-12-11
VEH00094,DRV00094,Bike,TVS,Apache,2019,MH11XM9533,CNG,2022-02-08,2020-07-14
VEH00095,DRV00095,Prime,Honda,City,2015,KA04UF1232,Diesel,2018-12-26,2020-12-18
VEH00096,DRV00096,Bike,Hero,Splendor,2022,WB11AI4616,CNG,2024-08-12,2024-10-02
VEH00097,DRV00097,Prime,Hyundai,Verna,2025,UP18GM2360,Petrol,2028-12-02,2026-03-14
VEH00098,DRV00098,Auto,Piaggio,Ape,2015,MH15TG9551,CNG,2016-09-20,2021-11-03
VEH00099,DRV00099,Auto,Bajaj,RE Auto,2016,RJ05EG5831,Petrol,2017-04-24,2023-09-06
VEH00100,DRV00100,Auto,Bajaj,RE Auto,2020,RJ17GK0089,Petrol,2021-05-09,2025-11-20
VEH00101,DRV00101,Auto,Bajaj,RE Auto,2019,KA02HN7232,Diesel,2022-07-31,2025-03-22
VEH00102,DRV00102,Prime,Honda,City,2020,KA12LD2241,Petrol,2021-04-19,2025-11-01
VEH00103,DRV00103,Mini,Maruti Suzuki,WagonR,2022,TN13UZ2711,Petrol,2024-03-24,2025-12-27
VEH00104,DRV00104,Mini,Hyundai,Santro,2022,UP13BN7685,Electric,2025-06-21,2023-03-28
VEH00105,DRV00105,Mini,Maruti Suzuki,WagonR,2021,KA13ML9500,Petrol,2024-09-25,2026-04-28
VEH00106,DRV00106,Auto,Bajaj,RE Auto,2025,DL16ZM6755,Electric,2026-06-15,2026-04-16
VEH00107,DRV00107,Mini,Maruti Suzuki,WagonR,2021,GJ05YA9218,Petrol,2024-05-27,2022-05-21
VEH00108,DRV00108,Mini,Hyundai,Santro,2019,DL05MM5169,Diesel,2020-10-24,2020-01-28
VEH00109,DRV00109,Bike,Hero,Splendor,2017,TN20RH8954,Petrol,2018-12-17,2023-08-04
VEH00110,DRV00110,Mini,Maruti Suzuki,WagonR,2026,WB10IS2625,CNG,2027-01-26,
VEH00111,DRV00111,Auto,Bajaj,RE Auto,2022,WB14NU5626,Petrol,2023-09-16,2024-09-12
VEH00112,DRV00112,Auto,Piaggio,Ape,2016,UP03EG2154,Diesel,2019-06-03,2018-03-30
VEH00113,DRV00113,Bike,Bajaj,Pulsar,2025,MH15OR0590,Diesel,2027-01-28,2026-04-27
VEH00114,DRV00114,Mini,Maruti Suzuki,WagonR,2019,UP01KL4536,Diesel,2022-12-06,2021-11-19
VEH00115,DRV00115,Auto,Piaggio,Ape,2023,GJ13FP8168,CNG,2024-09-21,2024-09-08
VEH00116,DRV00116,Bike,Bajaj,Pulsar,2026,TN09BH3169,Petrol,2029-10-15,
VEH00117,DRV00117,Mini,Maruti Suzuki,Alto,2021,KA20CZ9134,Petrol,2024-02-05,2024-11-17
VEH00118,DRV00118,Mini,Maruti Suzuki,WagonR,2018,UP19AG8036,Petrol,2019-12-03,2021-09-16
VEH00119,DRV00119,Bike,Hero,Splendor,2021,MH11JI4445,Petrol,2022-07-17,2025-06-01
VEH00120,DRV00120,Bike,Hero,Splendor,2026,GJ14GO8689,Diesel,2029-09-30,
VEH00121,DRV00121,Auto,Piaggio,Ape,2018,WB01QW7189,Diesel,2019-05-11,2022-06-10
VEH00122,DRV00122,Auto,Piaggio,Ape,2016,TS17EK0626,Diesel,2018-06-26,2025-12-25
VEH00123,DRV00123,Bike,TVS,Apache,2017,WB10DB7899,Petrol,2019-09-08,2024-10-17
VEH00124,DRV00124,Mini,Maruti Suzuki,WagonR,2024,WB07ZM7648,CNG,2027-10-01,2025-07-20
VEH00125,DRV00125,Prime,Honda,City,2018,RJ11EP4584,Diesel,2020-06-02,2021-08-26
VEH00126,DRV00126,Mini,Maruti Suzuki,WagonR,2022,KA08BA4844,Electric,2025-10-17,2026-03-09
VEH00127,DRV00127,Bike,Bajaj,Pulsar,2017,GJ20AW3902,CNG,2018-03-04,2020-08-27
VEH00128,DRV00128,Mini,Maruti Suzuki,Alto,2018,GJ06DL6056,CNG,2021-03-19,2019-04-26
VEH00129,DRV00129,Mini,Maruti Suzuki,Alto,2017,KA10UE5136,CNG,2020-11-27,2022-06-08
VEH00130,DRV00130,Mini,Hyundai,Santro,2015,RJ15GZ4308,Petrol,2018-01-04,2023-12-04
VEH00131,DRV00131,Bike,Bajaj,Pulsar,2017,KA09TH7239,Petrol,2019-04-19,2018-02-22
VEH00132,DRV00132,Mini,Maruti Suzuki,WagonR,2026,KA13HN0967,CNG,2027-08-20,
VEH00133,DRV00133,Mini,Maruti Suzuki,Alto,2024,RJ10HX0582,Electric,2027-08-15,2026-01-05
VEH00134,DRV00134,Prime,Honda,City,2024,WB11MQ7267,Petrol,2026-09-17,2026-02-19
VEH00135,DRV00135,Prime,Hyundai,Verna,2015,RJ13IS9658,Petrol,2017-10-10,2025-12-02
VEH00136,DRV00136,Mini,Maruti Suzuki,WagonR,2018,UP08GT2371,Petrol,2020-09-27,2019-07-27
VEH00137,DRV00137,Mini,Maruti Suzuki,WagonR,2023,WB10RN8954,Electric,2024-11-12,2024-04-21
VEH00138,DRV00138,XL,Mahindra,Marazzo,2025,WB14WP9934,Diesel,2026-10-26,2026-03-21
VEH00139,DRV00139,Mini,Maruti Suzuki,Alto,2024,MH04RC3383,Petrol,2025-09-26,2025-04-30
VEH00140,DRV00140,Prime,Maruti Suzuki,Ciaz,2022,TS10BB0044,Petrol,2023-01-11,2022-08-17
VEH00141,DRV00141,Auto,Piaggio,Ape,2023,GJ19IR9013,Diesel,2025-04-01,2023-09-02
VEH00142,DRV00142,Mini,Maruti Suzuki,Alto,2019,KA16PO1128,Petrol,2021-04-06,2020-03-03
VEH00143,DRV00143,Bike,Bajaj,Pulsar,2022,WB07NV5775,Petrol,2023-09-21,2024-01-16
VEH00144,DRV00144,XL,Toyota,Innova,2025,GJ09ZH5721,Petrol,2026-07-23,2026-04-10
VEH00145,DRV00145,Mini,Maruti Suzuki,Alto,2021,TS10BV7937,Petrol,2024-02-23,2022-06-30
VEH00146,DRV00146,Auto,Bajaj,RE Auto,2023,TN12JP4625,CNG,2024-11-16,2025-10-11
VEH00147,DRV00147,Mini,Maruti Suzuki,Alto,2017,TN05WV9548,Diesel,2018-11-22,2023-04-30
VEH00148,DRV00148,XL,Maruti Suzuki,Ertiga,2023,DL01GD2659,Petrol,2025-10-18,2025-07-20
VEH00149,DRV00149,Auto,Bajaj,RE Auto,2017,TS08BK5181,Petrol,2020-03-08,2023-07-31
VEH00150,DRV00150,Bike,Hero,Splendor,2015,RJ01XA9774,Diesel,2016-08-01,2016-07-19
VEH00151,DRV00151,Mini,Hyundai,Santro,2020,UP02FS1439,Petrol,2023-09-10,2022-11-21
VEH00152,DRV00152,Mini,Maruti Suzuki,WagonR,2016,TS15JO4754,Diesel,2018-09-25,2025-10-19
VEH00153,DRV00153,Mini,Hyundai,Santro,2018,WB08UT5551,Petrol,2020-10-19,2021-12-23
VEH00154,DRV00154,Bike,TVS,Apache,2026,UP06CH7994,Petrol,2029-06-04,
VEH00155,DRV00155,Bike,Bajaj,Pulsar,2021,TN01ZU4753,Diesel,2022-02-04,2024-07-13
VEH00156,DRV00156,Mini,Hyundai,Santro,2026,KA02XB8315,Petrol,2027-05-14,
VEH00157,DRV00157,Mini,Hyundai,Santro,2026,TN19YM5696,CNG,2029-08-02,
VEH00158,DRV00158,Prime,Honda,City,2021,KA16JL9568,Petrol,2024-12-21,2024-10-07
VEH00159,DRV00159,Bike,Bajaj,Pulsar,2022,TS02WD9221,Diesel,2025-03-15,2023-03-16
VEH00160,DRV00160,Bike,Bajaj,Pulsar,2023,DL01DI4038,CNG,2026-04-13,2024-04-27
VEH00161,DRV00161,Bike,TVS,Apache,2019,MH02PZ2940,Diesel,2022-11-22,2022-09-19
VEH00162,DRV00162,Auto,Bajaj,RE Auto,2023,RJ15TY6198,Electric,2025-02-07,2025-01-30
VEH00163,DRV00163,Auto,Bajaj,RE Auto,2015,DL11RV8151,Petrol,2018-10-22,2026-06-01
VEH00164,DRV00164,Prime,Hyundai,Verna,2021,TS13OP1510,CNG,2022-07-26,2023-01-08
VEH00165,DRV00165,Auto,Bajaj,RE Auto,2017,KA16TO2163,CNG,2018-04-13,2024-03-09
VEH00166,DRV00166,Mini,Maruti Suzuki,Alto,2022,KA16ZW7857,Diesel,2024-04-17,2024-11-21
VEH00167,DRV00167,Bike,TVS,Apache,2019,TN20FI5527,Petrol,2020-01-17,2022-03-26
VEH00168,DRV00168,Mini,Hyundai,Santro,2025,TN04WQ1906,CNG,2026-06-02,2026-03-03
VEH00169,DRV00169,Bike,Hero,Splendor,2026,MH01DI5061,Electric,2028-06-26,
VEH00170,DRV00170,Auto,Piaggio,Ape,2020,WB02ZH0850,Petrol,2023-05-13,2023-04-14
VEH00171,DRV00171,Mini,Maruti Suzuki,WagonR,2017,KA02VK6623,Diesel,2019-04-10,2022-04-10
VEH00172,DRV00172,Mini,Hyundai,Santro,2017,WB09YB6253,Diesel,2019-06-24,2025-03-12
VEH00173,DRV00173,Auto,Bajaj,RE Auto,2019,UP13ET8440,Diesel,2022-03-12,2023-06-06
VEH00174,DRV00174,Bike,Bajaj,Pulsar,2020,TS05DW1422,Petrol,2021-01-27,2025-09-25
VEH00175,DRV00175,Mini,Hyundai,Santro,2019,MH07ZC7097,Diesel,2021-09-22,2021-05-05
VEH00176,DRV00176,XL,Maruti Suzuki,Ertiga,2018,TN03WN5132,CNG,2020-07-03,2024-04-11
VEH00177,DRV00177,Bike,Bajaj,Pulsar,2020,TN08MG9397,Petrol,2021-03-13,2025-10-09
VEH00178,DRV00178,Prime,Hyundai,Verna,2025,WB03ZL3724,CNG,2027-12-11,2026-04-18
VEH00179,DRV00179,Mini,Maruti Suzuki,Alto,2026,TN01QF4887,Electric,2028-07-03,
VEH00180,DRV00180,Prime,Hyundai,Verna,2019,UP19EO6581,Petrol,2022-05-15,2023-04-08
VEH00181,DRV00181,Prime,Honda,City,2015,GJ12ZZ6032,Petrol,2017-10-09,2025-02-27
VEH00182,DRV00182,Mini,Maruti Suzuki,WagonR,2025,GJ12YD6884,Diesel,2028-01-19,2025-08-07
VEH00183,DRV00183,Prime,Maruti Suzuki,Ciaz,2015,RJ20CY3075,Diesel,2017-07-02,2016-07-06
VEH00184,DRV00184,Prime,Hyundai,Verna,2021,RJ02AK3692,CNG,2024-03-21,2022-12-30
VEH00185,DRV00185,Auto,Piaggio,Ape,2022,KA20IO5248,Electric,2023-04-09,2023-12-18
VEH00186,DRV00186,Mini,Maruti Suzuki,WagonR,2023,WB13DJ9488,Petrol,2026-01-07,2026-01-12
VEH00187,DRV00187,Prime,Maruti Suzuki,Ciaz,2016,WB11JI9203,Diesel,2017-05-12,2026-07-19
VEH00188,DRV00188,Bike,TVS,Apache,2018,KA07TH1549,Diesel,2020-03-05,2025-05-24
VEH00189,DRV00189,Mini,Hyundai,Santro,2019,TN12VL1771,Petrol,2022-12-21,2025-10-22
VEH00190,DRV00190,Bike,Hero,Splendor,2020,KA17YM8840,Petrol,2021-12-05,2021-07-23
VEH00191,DRV00191,Prime,Maruti Suzuki,Ciaz,2019,UP17NC6317,Petrol,2020-11-15,2021-12-10
VEH00192,DRV00192,Mini,Maruti Suzuki,Alto,2022,TN13KT8687,Petrol,2025-09-23,2025-03-05
VEH00193,DRV00193,Auto,Piaggio,Ape,2020,GJ06JT5461,CNG,2021-06-28,2022-03-09
VEH00194,DRV00194,Mini,Maruti Suzuki,Alto,2025,TN06RI7151,CNG,2027-03-07,2026-04-19
VEH00195,DRV00195,Mini,Maruti Suzuki,WagonR,2025,DL16PC1671,Petrol,2026-10-23,2026-03-30
VEH00196,DRV00196,Mini,Maruti Suzuki,Alto,2019,RJ13SK0673,Diesel,2020-11-04,2021-11-08
VEH00197,DRV00197,Mini,Maruti Suzuki,WagonR,2015,GJ18NJ1703,Petrol,2017-02-12,2025-07-05
VEH00198,DRV00198,Bike,TVS,Apache,2022,MH10VW4684,Petrol,2025-08-25,2024-06-27
VEH00199,DRV00199,Bike,TVS,Apache,2024,KA19MM6814,Diesel,2027-07-22,2025-05-29
VEH00200,DRV00200,Mini,Maruti Suzuki,WagonR,2022,MH18RK6154,Petrol,2024-05-15,2023-04-17
VEH00201,DRV00201,Bike,Hero,Splendor,2019,KA09FG7576,Diesel,2021-11-12,2023-09-22
VEH00202,DRV00202,Bike,Bajaj,Pulsar,2018,TN18RO2912,Petrol,2019-01-05,2018-05-04
VEH00203,DRV00203,Prime,Hyundai,Verna,2025,KA11CD2236,Petrol,2026-08-05,2026-05-31
VEH00204,DRV00204,Mini,Maruti Suzuki,Alto,2020,RJ18CK9113,CNG,2023-01-06,2023-02-03
VEH00205,DRV00205,Auto,Piaggio,Ape,2018,UP19VB1661,CNG,2019-12-02,2019-06-19
VEH00206,DRV00206,XL,Mahindra,Marazzo,2016,TN12SY8232,Diesel,2019-01-24,2019-10-15
VEH00207,DRV00207,Bike,Bajaj,Pulsar,2015,MH12AU7569,CNG,2018-01-24,2021-04-03
VEH00208,DRV00208,Prime,Maruti Suzuki,Ciaz,2022,WB04QM6953,Diesel,2025-08-12,2025-02-24
VEH00209,DRV00209,Auto,Bajaj,RE Auto,2015,TS11MV8045,Diesel,2017-07-23,2021-06-25
VEH00210,DRV00210,Mini,Maruti Suzuki,Alto,2025,GJ10YN4718,CNG,2028-05-02,2026-01-12
VEH00211,DRV00211,Mini,Maruti Suzuki,Alto,2020,KA07NT8541,Petrol,2021-01-23,2026-06-08
VEH00212,DRV00212,Auto,Bajaj,RE Auto,2017,KA05JO2484,Petrol,2018-06-12,2022-07-10
VEH00213,DRV00213,Bike,Bajaj,Pulsar,2023,MH11JK5988,Petrol,2024-09-26,2024-01-16
VEH00214,DRV00214,Prime,Hyundai,Verna,2016,MH19BO3839,CNG,2018-06-14,2019-02-28
VEH00215,DRV00215,Mini,Hyundai,Santro,2017,MH13EK3123,CNG,2019-06-06,2023-07-25
VEH00216,DRV00216,XL,Toyota,Innova,2026,RJ02XR6551,CNG,2029-04-19,
VEH00217,DRV00217,Auto,Piaggio,Ape,2026,WB19PK7172,CNG,2029-02-03,
VEH00218,DRV00218,Mini,Maruti Suzuki,Alto,2021,RJ13JQ8881,Diesel,2023-09-08,2025-04-20
VEH00219,DRV00219,Mini,Maruti Suzuki,WagonR,2023,WB15HA2592,Electric,2026-08-09,2023-12-25
VEH00220,DRV00220,Mini,Maruti Suzuki,Alto,2017,GJ09XK4539,Diesel,2019-12-20,2020-04-29
VEH00221,DRV00221,Mini,Hyundai,Santro,2021,KA16DC2981,Petrol,2022-02-08,2026-01-23
VEH00222,DRV00222,Prime,Honda,City,2016,WB09WQ6224,CNG,2017-05-03,2026-05-04
VEH00223,DRV00223,Bike,Bajaj,Pulsar,2019,GJ15KM6990,Diesel,2020-04-17,2024-04-29
VEH00224,DRV00224,Bike,Bajaj,Pulsar,2025,MH18HY6702,Petrol,2027-08-26,2026-07-06
VEH00225,DRV00225,Bike,Bajaj,Pulsar,2015,WB03VH1962,CNG,2017-03-25,2017-06-24
VEH00226,DRV00226,Bike,Hero,Splendor,2020,TS10VD2439,CNG,2021-02-13,2024-09-21
VEH00227,DRV00227,Bike,TVS,Apache,2024,UP03MG0267,Diesel,2025-02-20,2025-11-17
VEH00228,DRV00228,Mini,Hyundai,Santro,2018,RJ13SK7569,Diesel,2020-01-27,2026-03-02
VEH00229,DRV00229,Auto,Piaggio,Ape,2025,TS06SA6477,CNG,2028-03-05,2026-03-28
VEH00230,DRV00230,Mini,Maruti Suzuki,WagonR,2019,GJ20HV6191,Petrol,2021-10-11,2022-03-23
VEH00231,DRV00231,Bike,Hero,Splendor,2026,GJ10BU8866,Petrol,2027-07-07,
VEH00232,DRV00232,Bike,Bajaj,Pulsar,2021,RJ09UY0496,Petrol,2024-08-04,2022-07-14
VEH00233,DRV00233,XL,Maruti Suzuki,Ertiga,2023,TS16EP9549,CNG,2025-10-03,2024-05-07
VEH00234,DRV00234,Prime,Hyundai,Verna,2016,UP08ZD1738,Diesel,2017-08-13,2025-03-13
VEH00235,DRV00235,Auto,Bajaj,RE Auto,2022,GJ14IT7183,CNG,2025-06-09,2025-02-26
VEH00236,DRV00236,Mini,Maruti Suzuki,Alto,2019,DL20IA6315,Diesel,2021-03-31,2023-09-12
VEH00237,DRV00237,Bike,Bajaj,Pulsar,2021,GJ04KH9236,Petrol,2024-10-03,2025-09-09
VEH00238,DRV00238,Bike,Hero,Splendor,2016,DL12HI1182,CNG,2019-01-23,2023-10-24
VEH00239,DRV00239,Mini,Maruti Suzuki,WagonR,2025,UP03PU9704,CNG,2027-06-06,2026-05-20
VEH00240,DRV00240,Auto,Bajaj,RE Auto,2018,RJ14EC4052,CNG,2021-04-20,2026-05-30
VEH00241,DRV00241,Bike,Hero,Splendor,2016,RJ07WS7862,CNG,2017-09-19,2022-07-17
VEH00242,DRV00242,Auto,Bajaj,RE Auto,2023,MH01BD9304,Diesel,2026-03-20,2024-11-18
VEH00243,DRV00243,Mini,Hyundai,Santro,2022,MH14JX5457,CNG,2023-08-05,2024-12-01
