coupon_id,ride_id,coupon_code,campaign_name,discount_type,discount_value,discount_amt,valid_from,valid_to
CPN0000031,RID0000211,FIRST20,First ride discount,percentage,20,28.97,2025-02-20,2025-03-18
CPN0000032,RID0000212,WELCOME50,New user welcome offer,flat,50,50.0,2026-03-04,2026-03-31
CPN0000033,RID0000213,LOYAL30,Loyalty reward,flat,30,30.0,2024-03-31,2024-04-30
CPN0000034,RID0000223,FIRST20,First ride discount,percentage,20,15.02,2024-10-18,2024-11-05
CPN0000035,RID0000226,RAINY10,Monsoon special,percentage,10,4.93,2024-03-26,2024-04-23
CPN0000036,RID0000231,FIRST20,First ride discount,percentage,20,15.98,2025-11-09,2025-12-10
CPN0000037,RID0000249,FIRST20,First ride discount,percentage,20,50.64,2025-09-13,2025-10-11
CPN0000038,RID0000262,WEEKEND15,Weekend ride offer,percentage,15,13.96,2025-12-31,2026-01-24
CPN0000039,RID0000263,WEEKEND15,Weekend ride offer,percentage,15,28.2,2024-10-05,2024-11-01
CPN0000040,RID0000268,WELCOME50,New user welcome offer,flat,50,50.0,2026-02-14,2026-03-14
CPN0000041,RID0000275,WELCOME50,New user welcome offer,flat,50,42.9,2025-02-09,2025-03-18
CPN0000042,RID0000285,FIRST20,First ride discount,percentage,20,10.4,2026-05-10,2026-05-27
CPN0000043,RID0000288,RAINY10,Monsoon special,percentage,10,42.34,2024-04-04,2024-05-03
CPN0000044,RID0000298,FIRST20,First ride discount,percentage,20,92.28,2026-01-05,2026-02-13
CPN0000045,RID0000305,FIRST20,First ride discount,percentage,20,10.75,2024-05-02,2024-06-03
CPN0000046,RID0000319,RAINY10,Monsoon special,percentage,10,4.22,2024-02-13,2024-03-04
CPN0000047,RID0000326,RAINY10,Monsoon special,percentage,10,9.76,2025-06-10,2025-07-01
CPN0000048,RID0000328,WEEKEND15,Weekend ride offer,percentage,15,7.04,2026-05-31,2026-06-20
CPN0000049,RID0000331,RAINY10,Monsoon special,percentage,10,21.95,2025-10-11,2025-11-10
CPN0000050,RID0000339,FEST100,Festive season offer,flat,100,100.0,2026-05-21,2026-06-18
CPN0000051,RID0000348,RAINY10,Monsoon special,percentage,10,4.78,2024-03-09,2024-03-31
CPN0000052,RID0000357,RAINY10,Monsoon special,percentage,10,7.11,2024-05-04,2024-05-27
CPN0000053,RID0000372,WELCOME50,New user welcome offer,flat,50,17.85,2025-06-07,2025-07-02
CPN0000054,RID0000379,WEEKEND15,Weekend ride offer,percentage,15,13.97,2026-03-25,2026-04-20
CPN0000055,RID0000383,FEST100,Festive season offer,flat,100,35.82,2024-01-19,2024-02-11
CPN0000056,RID0000384,LOYAL30,Loyalty reward,flat,30,30.0,2025-08-30,2025-09-22
CPN0000057,RID0000391,FIRST20,First ride discount,percentage,20,17.9,2025-10-03,2025-10-16
CPN0000058,RID0000399,FEST100,Festive season offer,flat,100,80.14,2025-01-11,2025-02-13
CPN0000059,RID0000409,FEST100,Festive season offer,flat,100,68.67,2024-10-26,2024-11-21
CPN0000060,RID0000414,FEST100,Festive season offer,flat,100,48.02,2024-03-07,2024-03-22
CPN0000061,RID0000428,WEEKEND15,Weekend ride offer,percentage,15,13.91,2025-05-23,2025-06-22
CPN0000062,RID0000433,FIRST20,First ride discount,percentage,20,12.58,2024-05-26,2024-06-30
CPN0000063,RID0000434,FEST100,Festive season offer,flat,100,28.77,2024-07-22,2024-08-12
CPN0000064,RID0000436,WEEKEND15,Weekend ride offer,percentage,15,70.51,2025-03-20,2025-04-13
CPN0000065,RID0000459,RAINY10,Monsoon special,percentage,10,14.96,2025-03-25,2025-04-19
CPN0000066,RID0000464,WELCOME50,New user welcome offer,flat,50,50.0,2024-10-24,2024-12-01
CPN0000067,RID0000471,FEST100,Festive season offer,flat,100,45.6,2025-08-30,2025-09-20
CPN0000068,RID0000478,WELCOME50,New user welcome offer,flat,50,12.53,2024-02-05,2024-02-27
CPN0000069,RID0000483,FIRST20,First ride discount,percentage,20,12.02,2024-01-10,2024-02-08
CPN0000070,RID0000486,FEST100,Festive season offer,flat,100,99.69,2025-01-11,2025-02-01
CPN0000071,RID0000505,RAINY10,Monsoon special,percentage,10,4.64,2026-02-15,2026-03-12
CPN0000072,RID0000507,RAINY10,Monsoon special,percentage,10,16.26,2024-02-16,2024-03-11
CPN0000073,RID0000520,LOYAL30,Loyalty reward,flat,30,21.93,2025-06-26,2025-07-28
CPN0000074,RID0000527,FIRST20,First ride discount,percentage,20,17.45,2024-10-13,2024-11-13
CPN0000075,RID0000533,RAINY10,Monsoon special,percentage,10,4.48,2025-02-02,2025-03-01
CPN0000076,RID0000537,LOYAL30,Loyalty reward,flat,30,18.86,2024-01-12,2024-02-05
CPN0000077,RID0000542,FEST100,Festive season offer,flat,100,36.94,2026-07-03,2026-08-02
CPN0000078,RID0000548,FIRST20,First ride discount,percentage,20,55.83,2026-01-16,2026-02-14
CPN0000079,RID0000551,FIRST20,First ride discount,percentage,20,29.8,2024-11-09,2024-12-06
CPN0000080,RID0000569,RAINY10,Monsoon special,percentage,10,7.66,2025-01-15,2025-02-13
CPN0000081,RID0000577,WELCOME50,New user welcome offer,flat,50,29.46,2026-05-26,2026-06-24
CPN0000082,RID0000580,FEST100,Festive season offer,flat,100,77.86,2026-05-27,2026-06-27
CPN0000083,RID0000588,WEEKEND15,Weekend ride offer,percentage,15,4.38,2024-01-04,2024-02-10
CPN0000084,RID0000596,WELCOME50,New user welcome offer,flat,50,50.0,2024-02-12,2024-03-03
CPN0000085,RID0000601,FIRST20,First ride discount,percentage,20,11.72,2026-06-11,2026-07-09
CPN0000086,RID0000602,LOYAL30,Loyalty reward,flat,30,13.92,2025-12-20,2026-01-28
CPN0000087,RID0000605,LOYAL30,Loyalty reward,flat,30,30.0,2024-05-27,2024-06-22
CPN0000088,RID0000610,FEST100,Festive season offer,flat,100,54.84,2024-04-10,2024-04-28
CPN0000089,RID0000611,FEST100,Festive season offer,flat,100,25.7,2026-05-02,2026-05-24
CPN0000090,RID0000612,RAINY10,Monsoon special,percentage,10,5.23,2025-03-01,2025-03-22
CPN0000091,RID0000621,FEST100,Festive season offer,flat,100,66.96,2026-03-03,2026-03-29
CPN0000092,RID0000623,FEST100,Festive season offer,flat,100,79.56,2025-07-27,2025-08-23
CPN0000093,RID0000627,FIRST20,First ride discount,percentage,20,11.42,2024-12-22,2025-01-11
CPN0000094,RID0000632,FEST100,Festive season offer,flat,100,39.84,2025-08-19,2025-09-11
CPN0000095,RID0000644,FIRST20,First ride discount,percentage,20,28.08,2024-09-28,2024-10-27
CPN0000096,RID0000645,WEEKEND15,Weekend ride offer,percentage,15,6.87,2025-02-14,2025-03-11
CPN0000097,RID0000647,FIRST20,First ride discount,percentage,20,15.93,2024-05-22,2024-06-14
CPN0000098,RID0000659,WELCOME50,New user welcome offer,flat,50,50.0,2024-11-01,2024-12-02
CPN0000099,RID0000665,FIRST20,First ride discount,percentage,20,16.34,2026-01-29,2026-02-23
CPN0000100,RID0000666,RAINY10,Monsoon special,percentage,10,7.49,2026-05-09,2026-05-26
CPN0000101,RID0000669,WELCOME50,New user welcome offer,flat,50,18.69,2025-05-14,2025-06-09
CPN0000102,RID0000675,WELCOME50,New user welcome offer,flat,50,31.32,2026-02-01,2026-02-28
CPN0000103,RID0000676,FEST100,Festive season offer,flat,100,99.94,2025-07-31,2025-08-31
CPN0000104,RID0000699,RAINY10,Monsoon special,percentage,10,20.24,2025-09-05,2025-09-29
CPN0000105,RID0000702,FEST100,Festive season offer,flat,100,24.96,2024-09-04,2024-09-27
CPN0000106,RID0000704,LOYAL30,Loyalty reward,flat,30,30.0,2025-05-10,2025-06-10
CPN0000107,RID0000706,FEST100,Festive season offer,flat,100,96.84,2024-02-29,2024-04-08
CPN0000108,RID0000710,RAINY10,Monsoon special,percentage,10,12.41,2024-06-05,2024-07-08
CPN0000109,RID0000728,WELCOME50,New user welcome offer,flat,50,50.0,2025-03-08,2025-03-28
CPN0000110,RID0000729,FIRST20,First ride discount,percentage,20,14.22,2024-03-16,2024-04-18
CPN0000111,RID0000752,LOYAL30,Loyalty reward,flat,30,30.0,2026-05-29,2026-06-26
CPN0000112,RID0000755,FIRST20,First ride discount,percentage,20,15.5,2024-03-19,2024-03-30
CPN0000113,RID0000757,WELCOME50,New user welcome offer,flat,50,17.67,2024-08-02,2024-09-02
CPN0000114,RID0000765,LOYAL30,Loyalty reward,flat,30,30.0,2025-05-10,2025-06-14
CPN0000115,RID0000781,LOYAL30,Loyalty reward,flat,30,26.61,2024-09-25,2024-11-02
CPN0000116,RID0000783,LOYAL30,Loyalty reward,flat,30,30.0,2025-09-10,2025-10-11
CPN0000117,RID0000786,RAINY10,Monsoon special,percentage,10,5.83,2026-01-13,2026-02-07
CPN0000118,RID0000800,WELCOME50,New user welcome offer,flat,50,38.94,2024-02-12,2024-03-08
CPN0000119,RID0000805,FEST100,Festive season offer,flat,100,27.84,2024-01-15,2024-02-03
CPN0000120,RID0000813,LOYAL30,Loyalty reward,flat,30,30.0,2024-09-18,2024-09-29
CPN0000121,RID0000822,RAINY10,Monsoon special,percentage,10,44.82,2025-02-28,2025-03-29
CPN0000122,RID0000825,WELCOME50,New user welcome offer,flat,50,50.0,2026-03-09,2026-04-06
CPN0000123,RID0000826,WEEKEND15,Weekend ride offer,percentage,15,24.57,2026-04-03,2026-04-23
CPN0000124,RID0000827,LOYAL30,Loyalty reward,flat,30,30.0,2024-06-16,2024-07-02
CPN0000125,RID0000831,FEST100,Festive season offer,flat,100,29.04,2024-06-10,2024-07-07
CPN0000126,RID0000833,LOYAL30,Loyalty reward,flat,30,30.0,2024-04-17,2024-05-06
CPN0000127,RID0000840,FEST100,Festive season offer,flat,100,17.16,2024-09-17,2024-10-05
CPN0000128,RID0000846,RAINY10,Monsoon special,percentage,10,6.13,2024-08-18,2024-09-15
CPN0000129,RID0000847,FIRST20,First ride discount,percentage,20,46.09,2026-04-04,2026-04-20
CPN0000130,RID0000851,FEST100,Festive season offer,flat,100,23.04,2025-01-14,2025-02-05
CPN0000131,RID0000854,RAINY10,Monsoon special,percentage,10,5.66,2024-10-11,2024-11-12
CPN0000132,RID0000862,FEST100,Festive season offer,flat,100,29.7,2025-01-08,2025-02-03
CPN0000133,RID0000863,RAINY10,Monsoon special,percentage,10,10.37,2025-10-04,2025-11-07
CPN0000134,RID0000866,FEST100,Festive season offer,flat,100,30.78,2024-10-10,2024-11-11
CPN0000135,RID0000879,WEEKEND15,Weekend ride offer,percentage,15,26.15,2024-09-09,2024-10-03
CPN0000136,RID0000893,FEST100,Festive season offer,flat,100,100.0,2024-01-27,2024-02-22
CPN0000137,RID0000902,WEEKEND15,Weekend ride offer,percentage,15,21.6,2024-06-21,2024-07-17
CPN0000138,RID0000909,LOYAL30,Loyalty reward,flat,30,30.0,2024-12-21,2025-01-12
CPN0000139,RID0000914,FIRST20,First ride discount,percentage,20,7.99,2025-06-07,2025-07-06
CPN0000140,RID0000917,FEST100,Festive season offer,flat,100,45.94,2024-10-24,2024-11-15
CPN0000141,RID0000921,FIRST20,First ride discount,percentage,20,66.48,2026-06-23,2026-07-20
CPN0000142,RID0000924,RAINY10,Monsoon special,percentage,10,8.16,2026-06-03,2026-06-27
CPN0000143,RID0000925,RAINY10,Monsoon special,percentage,10,23.54,2025-05-28,2025-06-17
CPN0000144,RID0000926,WELCOME50,New user welcome offer,flat,50,50.0,2025-08-29,2025-09-14
CPN0000145,RID0000930,WEEKEND15,Weekend ride offer,percentage,15,19.11,2024-08-25,2024-09-23
CPN0000146,RID0000931,WELCOME50,New user welcome offer,flat,50,11.88,2024-06-25,2024-07-12
CPN0000147,RID0000945,WEEKEND15,Weekend ride offer,percentage,15,13.62,2024-11-05,2024-11-26
CPN0000148,RID0000947,WELCOME50,New user welcome offer,flat,50,26.88,2025-08-06,2025-09-01
CPN0000149,RID0000948,WEEKEND15,Weekend ride offer,percentage,15,5.94,2025-04-24,2025-05-25
CPN0000150,RID0000949,FIRST20,First ride discount,percentage,20,26.67,2025-09-14,2025-10-05
CPN0000151,RID0000951,WEEKEND15,Weekend ride offer,percentage,15,9.11,2024-09-01,2024-09-28
CPN0000152,RID0000965,FEST100,Festive season offer,flat,100,37.8,2025-12-04,2026-01-04
CPN0000153,RID0000975,LOYAL30,Loyalty reward,flat,30,9.9,2024-10-16,2024-11-06
CPN0000154,RID0000978,FIRST20,First ride discount,percentage,20,4.94,2024-06-10,2024-07-12
CPN0000155,RID0000980,LOYAL30,Loyalty reward,flat,30,30.0,2024-06-07,2024-06-28
CPN0000156,RID0000981,WELCOME50,New user welcome offer,flat,50,31.74,2025-11-18,2025-12-08
CPN0000157,RID0000987,WELCOME50,New user welcome offer,flat,50,50.0,2024-08-14,2024-09-05
CPN0000158,RID0000992,WELCOME50,New user welcome offer,flat,50,42.3,2024-04-30,2024-05-21
CPN0000159,RID0001017,WEEKEND15,Weekend ride offer,percentage,15,7.46,2025-06-10,2025-07-01
CPN0000160,RID0001018,LOYAL30,Loyalty reward,flat,30,30.0,2025-12-29,2026-01-24
CPN0000161,RID0001024,LOYAL30,Loyalty reward,flat,30,30.0,2025-05-06,2025-05-29
CPN0000162,RID0001033,FIRST20,First ride discount,percentage,20,4.75,2024-05-28,2024-06-25
CPN0000163,RID0001041,FEST100,Festive season offer,flat,100,15.35,2025-08-19,2025-09-09
CPN0000164,RID0001049,FIRST20,First ride discount,percentage,20,20.26,2025-11-14,2025-11-27
CPN0000165,RID0001056,RAINY10,Monsoon special,percentage,10,15.24,2025-05-22,2025-06-07
CPN0000166,RID0001061,RAINY10,Monsoon special,percentage,10,8.09,2025-09-13,2025-10-02
CPN0000167,RID0001066,WEEKEND15,Weekend ride offer,percentage,15,42.51,2026-06-19,2026-07-16
CPN0000168,RID0001076,WELCOME50,New user welcome offer,flat,50,50.0,2024-03-21,2024-04-20
CPN0000169,RID0001083,RAINY10,Monsoon special,percentage,10,9.52,2025-02-24,2025-03-18
CPN0000170,RID0001084,WEEKEND15,Weekend ride offer,percentage,15,14.49,2024-12-21,2025-01-01
CPN0000171,RID0001092,WEEKEND15,Weekend ride offer,percentage,15,24.75,2025-03-19,2025-04-24
CPN0000172,RID0001098,LOYAL30,Loyalty reward,flat,30,30.0,2024-09-29,2024-10-26
CPN0000173,RID0001099,LOYAL30,Loyalty reward,flat,30,30.0,2026-02-11,2026-03-16
CPN0000174,RID0001105,WELCOME50,New user welcome offer,flat,50,19.62,2025-05-26,2025-07-01
CPN0000175,RID0001107,FIRST20,First ride discount,percentage,20,27.64,2024-10-04,2024-10-21
CPN0000176,RID0001115,RAINY10,Monsoon special,percentage,10,8.82,2025-02-18,2025-03-22
CPN0000177,RID0001130,LOYAL30,Loyalty reward,flat,30,30.0,2024-12-01,2024-12-31
CPN0000178,RID0001135,RAINY10,Monsoon special,percentage,10,29.18,2025-01-10,2025-01-30
CPN0000179,RID0001136,LOYAL30,Loyalty reward,flat,30,30.0,2026-06-18,2026-07-23
CPN0000180,RID0001148,RAINY10,Monsoon special,percentage,10,7.5,2025-04-02,2025-05-02
CPN0000181,RID0001150,FIRST20,First ride discount,percentage,20,20.96,2026-05-10,2026-05-27
CPN0000182,RID0001153,WELCOME50,New user welcome offer,flat,50,24.22,2024-01-29,2024-02-23
CPN0000183,RID0001155,FEST100,Festive season offer,flat,100,67.14,2024-08-14,2024-09-07
CPN0000184,RID0001166,RAINY10,Monsoon special,percentage,10,5.19,2024-06-12,2024-07-05
CPN0000185,RID0001170,WELCOME50,New user welcome offer,flat,50,50.0,2025-01-24,2025-02-09
CPN0000186,RID0001178,LOYAL30,Loyalty reward,flat,30,30.0,2024-02-08,2024-03-16
CPN0000187,RID0001184,FIRST20,First ride discount,percentage,20,33.74,2024-06-16,2024-07-19
CPN0000188,RID0001188,RAINY10,Monsoon special,percentage,10,7.05,2026-05-31,2026-06-24
CPN0000189,RID0001194,RAINY10,Monsoon special,percentage,10,16.56,2024-02-09,2024-03-03
CPN0000190,RID0001196,WEEKEND15,Weekend ride offer,percentage,15,26.73,2025-04-20,2025-05-21
CPN0000191,RID0001197,FIRST20,First ride discount,percentage,20,12.69,2024-01-05,2024-01-26
CPN0000192,RID0001200,FIRST20,First ride discount,percentage,20,9.72,2025-06-02,2025-07-01
CPN0000193,RID0001203,RAINY10,Monsoon special,percentage,10,11.91,2025-09-08,2025-09-23
CPN0000194,RID0001206,RAINY10,Monsoon special,percentage,10,2.5,2024-09-01,2024-09-28
CPN0000195,RID0001210,WEEKEND15,Weekend ride offer,percentage,15,14.47,2023-12-27,2024-01-30
CPN0000196,RID0001223,LOYAL30,Loyalty reward,flat,30,30.0,2026-01-19,2026-02-07
CPN0000197,RID0001230,FEST100,Festive season offer,flat,100,65.9,2026-05-01,2026-06-03
CPN0000198,RID0001234,FIRST20,First ride discount,percentage,20,52.37,2024-11-06,2024-12-14
CPN0000199,RID0001237,LOYAL30,Loyalty reward,flat,30,16.47,2025-07-04,2025-07-22
CPN0000200,RID0001245,FIRST20,First ride discount,percentage,20,9.82,2025-05-29,2025-06-27
CPN0000201,RID0001249,RAINY10,Monsoon special,percentage,10,8.47,2024-09-26,2024-10-26
CPN0000202,RID0001253,WELCOME50,New user welcome offer,flat,50,20.05,2024-03-08,2024-04-01
CPN0000203,RID0001269,LOYAL30,Loyalty reward,flat,30,30.0,2024-09-03,2024-09-22
CPN0000204,RID0001284,WEEKEND15,Weekend ride offer,percentage,15,8.91,2024-07-27,2024-08-18
CPN0000205,RID0001289,WEEKEND15,Weekend ride offer,percentage,15,5.25,2026-04-18,2026-05-13
CPN0000206,RID0001293,RAINY10,Monsoon special,percentage,10,2.63,2025-06-05,2025-07-06
CPN0000207,RID0001307,FIRST20,First ride discount,percentage,20,56.41,2024-10-04,2024-10-22
CPN0000208,RID0001318,LOYAL30,Loyalty reward,flat,30,26.16,2026-01-08,2026-01-31
CPN0000209,RID0001322,WELCOME50,New user welcome offer,flat,50,32.13,2026-06-15,2026-07-11
CPN0000210,RID0001324,FEST100,Festive season offer,flat,100,56.88,2025-02-28,2025-03-17
CPN0000211,RID0001327,WELCOME50,New user welcome offer,flat,50,16.68,2025-06-18,2025-07-12
CPN0000212,RID0001332,FEST100,Festive season offer,flat,100,19.8,2024-08-30,2024-09-14
CPN0000213,RID0001333,RAINY10,Monsoon special,percentage,10,4.37,2025-11-12,2025-12-17
CPN0000214,RID0001338,LOYAL30,Loyalty reward,flat,30,30.0,2025-08-15,2025-09-03
CPN0000215,RID0001343,WELCOME50,New user welcome offer,flat,50,50.0,2024-03-09,2024-03-28
CPN0000216,RID0001349,FIRST20,First ride discount,percentage,20,7.38,2026-01-26,2026-02-25
CPN0000217,RID0001351,WEEKEND15,Weekend ride offer,percentage,15,8.6,2024-02-19,2024-03-07
CPN0000218,RID0001356,FEST100,Festive season offer,flat,100,87.37,2025-05-14,2025-06-12
CPN0000219,RID0001362,WEEKEND15,Weekend ride offer,percentage,15,6.08,2023-12-22,2024-01-18
CPN0000220,RID0001364,WEEKEND15,Weekend ride offer,percentage,15,14.51,2026-04-02,2026-04-20
CPN0000221,RID0001368,LOYAL30,Loyalty reward,flat,30,30.0,2026-04-09,2026-05-05
CPN0000222,RID0001375,FEST100,Festive season offer,flat,100,40.44,2025-10-22,2025-11-11
CPN0000223,RID0001380,FEST100,Festive season offer,flat,100,47.07,2024-08-03,2024-08-25
CPN0000224,RID0001381,FIRST20,First ride discount,percentage,20,56.46,2024-06-25,2024-07-17
CPN0000225,RID0001406,FEST100,Festive season offer,flat,100,26.16,2024-08-19,2024-09-13
CPN0000226,RID0001407,RAINY10,Monsoon special,percentage,10,2.88,2024-12-05,2024-12-24
CPN0000227,RID0001414,FIRST20,First ride discount,percentage,20,11.15,2023-12-25,2024-01-17
CPN0000228,RID0001415,WELCOME50,New user welcome offer,flat,50,50.0,2025-09-18,2025-10-11
CPN0000229,RID0001417,RAINY10,Monsoon special,percentage,10,38.92,2024-06-23,2024-07-18
CPN0000230,RID0001426,RAINY10,Monsoon special,percentage,10,19.38,2026-01-27,2026-02-10
CPN0000231,RID0001434,RAINY10,Monsoon special,percentage,10,1.98,2025-11-22,2025-12-02
CPN0000232,RID0001439,FIRST20,First ride discount,percentage,20,8.51,2025-02-12,2025-03-06
CPN0000233,RID0001443,RAINY10,Monsoon special,percentage,10,4.65,2024-04-01,2024-04-28
CPN0000234,RID0001462,FIRST20,First ride discount,percentage,20,5.44,2024-12-14,2025-01-02
CPN0000235,RID0001464,LOYAL30,Loyalty reward,flat,30,17.67,2025-05-13,2025-06-07
CPN0000236,RID0001469,WELCOME50,New user welcome offer,flat,50,50.0,2024-11-04,2024-12-10
CPN0000237,RID0001470,FEST100,Festive season offer,flat,100,58.56,2025-09-28,2025-10-20
CPN0000238,RID0001490,FEST100,Festive season offer,flat,100,83.09,2024-08-21,2024-09-19
CPN0000239,RID0001497,FIRST20,First ride discount,percentage,20,44.35,2026-06-24,2026-07-07
CPN0000240,RID0001500,FIRST20,First ride discount,percentage,20,8.78,2024-01-07,2024-01-29
CPN0000241,RID0001501,FIRST20,First ride discount,percentage,20,4.5,2026-07-04,2026-07-28
CPN0000242,RID0001519,RAINY10,Monsoon special,percentage,10,8.93,2025-06-05,2025-06-27
CPN0000243,RID0001522,FIRST20,First ride discount,percentage,20,13.43,2024-04-15,2024-05-08
CPN0000244,RID0001523,WEEKEND15,Weekend ride offer,percentage,15,5.53,2024-06-13,2024-07-04
CPN0000245,RID0001537,FIRST20,First ride discount,percentage,20,24.62,2025-06-07,2025-07-14
CPN0000246,RID0001542,FIRST20,First ride discount,percentage,20,7.58,2026-05-17,2026-06-11
CPN0000247,RID0001558,WELCOME50,New user welcome offer,flat,50,20.53,2025-05-21,2025-06-21
CPN0000248,RID0001573,WELCOME50,New user welcome offer,flat,50,39.54,2024-05-11,2024-06-01
CPN0000249,RID0001579,WELCOME50,New user welcome offer,flat,50,50.0,2026-05-29,2026-06-20
CPN0000250,RID0001582,WEEKEND15,Weekend ride offer,percentage,15,6.38,2024-02-22,2024-03-17
CPN0000251,RID0001591,WEEKEND15,Weekend ride offer,percentage,15,10.02,2024-01-01,2024-01-31
CPN0000252,RID0001596,WEEKEND15,Weekend ride offer,percentage,15,12.3,2025-09-24,2025-10-20
CPN0000253,RID0001598,FIRST20,First ride discount,percentage,20,19.42,2025-04-01,2025-04-24
CPN0000254,RID0001610,FIRST20,First ride discount,percentage,20,16.27,2026-04-15,2026-05-02
CPN0000255,RID0001612,RAINY10,Monsoon special,percentage,10,10.45,2024-01-07,2024-02-07
CPN0000256,RID0001617,FEST100,Festive season offer,flat,100,100.0,2026-01-31,2026-02-24
CPN0000257,RID0001619,WEEKEND15,Weekend ride offer,percentage,15,6.48,2026-02-01,2026-03-06
CPN0000258,RID0001621,FIRST20,First ride discount,percentage,20,20.57,2025-09-27,2025-10-25
CPN0000259,RID0001625,FEST100,Festive season offer,flat,100,42.58,2026-05-24,2026-06-10
CPN0000260,RID0001630,LOYAL30,Loyalty reward,flat,30,21.6,2025-07-01,2025-07-22
CPN0000261,RID0001631,LOYAL30,Loyalty reward,flat,30,30.0,2024-09-22,2024-10-13
CPN0000262,RID0001632,RAINY10,Monsoon special,percentage,10,2.75,2025-09-07,2025-09-28
CPN0000263,RID0001635,FEST100,Festive season offer,flat,100,13.6,2024-07-02,2024-07-27
CPN0000264,RID0001637,LOYAL30,Loyalty reward,flat,30,30.0,2026-03-23,2026-04-27
CPN0000265,RID0001641,RAINY10,Monsoon special,percentage,10,5.75,2025-07-20,2025-08-11
CPN0000266,RID0001647,WEEKEND15,Weekend ride offer,percentage,15,23.43,2025-05-09,2025-06-01
CPN0000267,RID0001657,WEEKEND15,Weekend ride offer,percentage,15,9.81,2025-11-02,2025-11-22
CPN0000268,RID0001663,WELCOME50,New user welcome offer,flat,50,50.0,2024-12-13,2025-01-15
CPN0000269,RID0001687,LOYAL30,Loyalty reward,flat,30,26.59,2023-12-29,2024-01-12
CPN0000270,RID0001696,WEEKEND15,Weekend ride offer,percentage,15,26.07,2024-09-15,2024-10-19
CPN0000271,RID0001700,RAINY10,Monsoon special,percentage,10,12.51,2025-01-27,2025-02-14
CPN0000272,RID0001702,LOYAL30,Loyalty reward,flat,30,30.0,2024-09-02,2024-09-15
CPN0000273,RID0001707,LOYAL30,Loyalty reward,flat,30,30.0,2025-06-23,2025-07-19
CPN0000274,RID0001709,FIRST20,First ride discount,percentage,20,14.0,2024-05-10,2024-06-08
CPN0000275,RID0001710,FEST100,Festive season offer,flat,100,66.91,2026-05-02,2026-05-19
CPN0000276,RID0001719,FIRST20,First ride discount,percentage,20,26.71,2025-12-23,2026-01-24
